2023-04-15 18:36:33,792 - [INFO] - {'name': 'nell23k_distmult', 'dataset': 'NELL23K', 'model': 'hogrn', 'score_func': 'distmult', 'opn': 'mult', 'batch_size': 256, 'max_epochs': 9999, 'gamma': 40, 'gpu': '0', 'l2': 0, 'lr': 0.001, 'lbl_smooth': 0.1, 'num_workers': 2, 'seed': 41504, 'restore': False, 'bias': False, 'rel_reason': True, 'pre_reason': False, 'reason_type': 'mixdrop', 'act_type': 'tanh', 'rel_norm': False, 'init_dim': 150, 'gcn_dim': 150, 'embed_dim': 150, 'gcn_layer': 2, 'dropout': 0.3, 'hid_drop': 0.2, 'relmix_dim': 200, 'chamix_dim': 200, 'rel_mask': 0, 'chan_drop': 0.2, 'edge_drop': 0, 'temperature': 1, 'sim_decay': 0, 'rel_drop': 0, 'hid_drop2': 0.3, 'feat_drop': 0.3, 'k_w': 10, 'k_h': 10, 'num_filt': 32, 'ker_sz': 3, 'log_dir': './log/', 'config_dir': './config/'}
{'act_type': 'tanh',
 'batch_size': 256,
 'bias': False,
 'chamix_dim': 200,
 'chan_drop': 0.2,
 'config_dir': './config/',
 'dataset': 'NELL23K',
 'dropout': 0.3,
 'edge_drop': 0,
 'embed_dim': 150,
 'feat_drop': 0.3,
 'gamma': 40,
 'gcn_dim': 150,
 'gcn_layer': 2,
 'gpu': '0',
 'hid_drop': 0.2,
 'hid_drop2': 0.3,
 'init_dim': 150,
 'k_h': 10,
 'k_w': 10,
 'ker_sz': 3,
 'l2': 0,
 'lbl_smooth': 0.1,
 'log_dir': './log/',
 'lr': 0.001,
 'max_epochs': 9999,
 'model': 'hogrn',
 'name': 'nell23k_distmult',
 'num_filt': 32,
 'num_workers': 2,
 'opn': 'mult',
 'pre_reason': False,
 'reason_type': 'mixdrop',
 'rel_drop': 0,
 'rel_mask': 0,
 'rel_norm': False,
 'rel_reason': True,
 'relmix_dim': 200,
 'restore': False,
 'score_func': 'distmult',
 'seed': 41504,
 'sim_decay': 0,
 'temperature': 1}
Dataset:  NELL23K
NUM_ENT:  22925
NUM_REL:  200
Model have 3.9653M paramerters in total
########
2023-04-15 18:36:41,449 - [INFO] - [Epoch:0]:  Training Loss:0.1511

Time cost in one epoch for training: 0.0954s
########
2023-04-15 18:36:46,914 - [INFO] - [Epoch:1]:  Training Loss:0.001229

Time cost in one epoch for training: 0.0910s
########
2023-04-15 18:36:52,399 - [INFO] - [Epoch:2]:  Training Loss:0.001179

Time cost in one epoch for training: 0.0914s
########
2023-04-15 18:36:57,938 - [INFO] - [Epoch:3]:  Training Loss:0.00113

Time cost in one epoch for training: 0.0924s
########
2023-04-15 18:37:03,371 - [INFO] - [Epoch:4]:  Training Loss:0.001132

Time cost in one epoch for training: 0.0905s
########
2023-04-15 18:37:08,877 - [INFO] - [Epoch:5]:  Training Loss:0.001126

Time cost in one epoch for training: 0.0918s
########
2023-04-15 18:37:14,287 - [INFO] - [Epoch:6]:  Training Loss:0.001144

Time cost in one epoch for training: 0.0902s
########
2023-04-15 18:37:19,737 - [INFO] - [Epoch:7]:  Training Loss:0.001263

Time cost in one epoch for training: 0.0908s
########
2023-04-15 18:37:25,220 - [INFO] - [Epoch:8]:  Training Loss:0.001144

Time cost in one epoch for training: 0.0914s
########
2023-04-15 18:37:30,665 - [INFO] - [Epoch:9]:  Training Loss:0.001127

Time cost in one epoch for training: 0.0908s
########
2023-04-15 18:37:36,109 - [INFO] - [Epoch:10]:  Training Loss:0.001123

Time cost in one epoch for training: 0.0907s
########
2023-04-15 18:37:41,497 - [INFO] - [Epoch:11]:  Training Loss:0.00112

Time cost in one epoch for training: 0.0898s
########
2023-04-15 18:37:47,195 - [INFO] - [Epoch:12]:  Training Loss:0.001119

Time cost in one epoch for training: 0.0949s
########
2023-04-15 18:37:52,667 - [INFO] - [Epoch:13]:  Training Loss:0.001116

Time cost in one epoch for training: 0.0912s
########
2023-04-15 18:37:58,083 - [INFO] - [Epoch:14]:  Training Loss:0.001114

Time cost in one epoch for training: 0.0903s
########
2023-04-15 18:38:03,479 - [INFO] - [Epoch:15]:  Training Loss:0.00111

Time cost in one epoch for training: 0.0899s
########
2023-04-15 18:38:08,942 - [INFO] - [Epoch:16]:  Training Loss:0.001113

Time cost in one epoch for training: 0.0910s
########
2023-04-15 18:38:14,355 - [INFO] - [Epoch:17]:  Training Loss:0.001111

Time cost in one epoch for training: 0.0902s
########
2023-04-15 18:38:19,771 - [INFO] - [Epoch:18]:  Training Loss:0.001103

Time cost in one epoch for training: 0.0903s
########
2023-04-15 18:38:25,226 - [INFO] - [Epoch:19]:  Training Loss:0.001095

Time cost in one epoch for training: 0.0909s
########
2023-04-15 18:38:30,554 - [INFO] - [Epoch:20]:  Training Loss:0.001091

Time cost in one epoch for training: 0.0888s
########
